S.No,Time,Cycle,Lo-V,Hi-V,V-rise,Intensify,P-rise,Biscuit_Thick,Cast pressure,Cycle Time,,,
1,14:00:26,5030061,0.26,4.03,22,236,50,18,944,00:00:48,,,
2,14:01:15,5030062,0.26,4.04,21,236,53,22,944,00:00:49,,,
3,14:02:04,5030063,0.26,4.3,23,236,50,21,944,00:00:49,,,
4,14:02:53,5030064,0.26,3.76,23,235,54,24,940,00:00:49,,,
5,14:03:41,5030065,0.26,4.08,23,229,55,14,916,00:00:48,,,
6,14:04:30,5030066,0.26,3.87,24,236,45,26,944,00:00:49,,,
7,14:05:19,5030067,0.26,4.05,22,236,39,22,944,00:00:49,,,
8,14:06:08,5030068,0.26,4.06,23,236,50,22,944,00:00:49,,,
9,14:06:56,5030069,0.26,4.07,23,234,48,19,936,00:00:48,,,13:59:38
10,14:07:45,5030070,0.26,3.89,22,235,48,21,940,00:00:49,,,
11,14:08:34,5030071,0.26,4.12,23,236,53,22,944,00:00:49,,,
12,14:09:23,5030072,0.26,4.22,23,235,54,22,940,00:00:49,,,
13,14:10:13,5030073,0.26,4.08,22,236,45,16,944,00:00:50,,,
14,14:11:02,5030074,0.26,4.16,24,237,41,16,948,00:00:49,,,
15,14:11:51,5030075,0.26,4.16,22,235,53,19,940,00:00:49,,,
16,14:12:40,5030076,0.26,3.92,24,236,53,23,944,00:00:49,,,
17,14:13:30,5030077,0.26,3.99,23,235,50,19,940,00:00:50,,,
18,14:14:20,5030078,0.26,4.08,24,235,50,17,940,00:00:50,,,
19,14:15:08,5030079,0.26,4.16,22,235,48,18,940,00:00:48,,,
20,14:15:57,5030080,0.26,3.98,22,236,49,21,944,00:00:49,,,
21,14:16:46,5030081,0.26,3.95,22,236,48,25,944,00:00:49,,,
22,14:17:35,5030082,0.26,3.92,22,237,39,23,948,00:00:49,,,
23,14:18:24,5030083,0.26,4.07,24,234,50,18,936,00:00:49,,,
24,14:19:12,5030084,0.26,3.99,23,237,53,24,948,00:00:48,,,
25,14:20:01,5030085,0.26,3.91,22,236,50,21,944,00:00:49,,,
26,14:20:50,5030086,0.26,3.77,25,236,35,20,944,00:00:49,,,
27,14:21:39,5030087,0.26,4.28,23,235,53,18,940,00:00:49,,,
28,14:22:28,5030088,0.26,4,22,234,40,17,936,00:00:49,,,
29,14:23:16,5030089,0.26,3.98,22,235,48,17,940,00:00:48,,,
30,14:24:05,5030090,0.26,4.07,21,235,39,18,940,00:00:49,,,
31,14:25:00,5030091,0.26,4.07,22,235,58,10,940,00:00:55,,,
32,14:25:43,5030092,0.26,3.69,22,236,50,24,944,00:00:43,,,
33,14:26:31,5030093,0.26,3.53,22,237,41,22,948,00:00:48,,,
34,14:27:20,5030094,0.26,3.78,22,235,47,21,940,00:00:49,,,
35,14:28:08,5030095,0.26,3.61,22,236,48,21,944,00:00:48,,,
36,14:28:57,5030096,0.26,4.05,21,236,50,18,944,00:00:49,,,
37,14:29:46,5030097,0.26,3.75,23,237,37,20,948,00:00:49,,,
38,14:30:35,5030098,0.26,3.91,23,236,51,19,944,00:00:49,,,
39,14:31:23,5030099,0.26,3.91,24,236,38,17,944,00:00:48,,,
40,14:32:12,5030100,0.26,3.7,19,236,47,20,944,00:00:49,,,
41,14:33:01,5030101,0.26,3.83,21,236,49,17,944,00:00:49,,,
42,14:33:49,5030102,0.26,4.05,23,237,36,17,948,00:00:48,,,
43,14:34:38,5030103,0.26,4.23,23,235,42,19,940,00:00:49,,,
44,14:35:26,5030104,0.26,4.06,24,236,53,18,944,00:00:48,,,
45,14:36:15,5030105,0.26,3.8,23,235,39,21,940,00:00:49,,,
46,14:37:04,5030106,0.26,3.95,23,235,44,18,940,00:00:49,,,
47,14:37:52,5030107,0.26,4.35,25,236,53,17,944,00:00:48,,,
48,14:38:41,5030108,0.26,3.78,21,235,41,19,940,00:00:49,,,
49,14:39:30,5030109,0.26,4.14,23,235,41,16,940,00:00:49,,,
50,14:40:18,5030110,0.26,4,24,237,37,20,948,00:00:48,,,
51,14:41:07,5030111,0.26,5.98,27,240,55,7,960,00:00:49,,,
52,14:44:38,5030112,0.26,4.21,22,239,55,19,956,00:03:31,,,
53,14:45:26,5030113,0.26,4.13,24,237,54,21,948,00:00:48,,,
